repo,level,issueId
backstage/backstage,Advanced,32407
backstage/backstage,Advanced,32509
backstage/backstage,Beginner,29662
backstage/backstage,Beginner,30442
backstage/backstage,Beginner,31175
backstage/backstage,Beginner,31446
backstage/backstage,Beginner,31539
backstage/backstage,Beginner,31540
backstage/backstage,Beginner,31541
backstage/backstage,Beginner,31542
backstage/backstage,Beginner,32745
backstage/backstage,Beginner,32746
backstage/backstage,Beginner,32747
backstage/backstage,Beginner,32748
backstage/backstage,Beginner,32749
backstage/community-plugins,Beginner,413
backstage/community-plugins,Beginner,705
backstage/community-plugins,Beginner,3898
backstage/community-plugins,Beginner,3899
backstage/community-plugins,Beginner,3900
backstage/community-plugins,Beginner,4056
backstage/community-plugins,Beginner,4841
backstage/community-plugins,Beginner,5992
backstage/community-plugins,Beginner,5994
backstage/community-plugins,Beginner,7531
backstage/community-plugins,Beginner,7535
backstage/community-plugins,Beginner,7536
backstage/community-plugins,Beginner,7537
backstage/community-plugins,Beginner,7538
backstage/community-plugins,Beginner,7539
backstage/backstage,Intermediate,6109
backstage/backstage,Intermediate,6366
backstage/backstage,Intermediate,13402
backstage/backstage,Intermediate,13668
backstage/backstage,Intermediate,20955
backstage/backstage,Intermediate,27009
backstage/backstage,Intermediate,29670
backstage/backstage,Intermediate,29671
backstage/backstage,Intermediate,30740
backstage/backstage,Intermediate,30979
backstage/backstage,Intermediate,31273
backstage/backstage,Intermediate,31487
backstage/backstage,Intermediate,31749
backstage/backstage,Intermediate,31750
backstage/backstage,Intermediate,31751
backstage/backstage,Intermediate,31752
backstage/backstage,Intermediate,32724
backstage/backstage,Intermediate,32750
backstage/community-plugins,Intermediate,186
backstage/community-plugins,Intermediate,629
backstage/community-plugins,Intermediate,844
backstage/community-plugins,Intermediate,894
backstage/community-plugins,Intermediate,1776
backstage/community-plugins,Intermediate,2913
backstage/community-plugins,Intermediate,5267
backstage/community-plugins,Intermediate,7532
backstage/community-plugins,Intermediate,7533
backstage/community-plugins,Intermediate,7534
backstage/backstage,Intermediate,31315
backstage/backstage,Intermediate,31919
backstage/backstage,Intermediate,32246
backstage/backstage,Intermediate,32271
backstage/backstage,Intermediate,32315
backstage/backstage,Intermediate,32353
backstage/backstage,Beginner,32677
backstage/backstage,Intermediate,32785
backstage/backstage,Intermediate,32787
backstage/backstage,Advanced,32802
backstage/backstage,Advanced,32833
backstage/backstage,Intermediate,32834
backstage/backstage,Intermediate,32839
backstage/backstage,Advanced,32850
backstage/backstage,Advanced,32858
backstage/backstage,Beginner,32861
backstage/backstage,Beginner,32972
backstage/community-plugins,Beginner,2600
backstage/community-plugins,Beginner,6118
backstage/community-plugins,Intermediate,6402
backstage/community-plugins,Intermediate,6409
backstage/community-plugins,Beginner,7073
backstage/community-plugins,Intermediate,7435
backstage/community-plugins,Beginner,7462
backstage/community-plugins,Intermediate,7574
backstage/community-plugins,Beginner,7859
backstage/community-plugins,Beginner,7860
backstage/community-plugins,Beginner,7861
backstage/community-plugins,TBD,7868